"time" "channel1" "channel2" "channel3" "channel4" "channel5" "channel6" "channel7" "channel8"
"1812" 40401 6.47294841125087e-09 1.22494670278895e-08 3.39670943035599e-08 2.27508930099059e-07 1.87229949928047e-07 5.72230699903424e-08 2.59433941822066e-08 1.54960676578453e-08
"1813" 40402 6.48848155006446e-09 1.22608842684411e-08 3.39435549720603e-08 2.28662866121856e-07 1.87212794043686e-07 5.72261384859907e-08 2.59048072020828e-08 1.55167363746638e-08
"1814" 40403 6.50401468887804e-09 1.22723015089928e-08 3.39200156405607e-08 2.29816802144652e-07 1.87195638159325e-07 5.72292069816391e-08 2.58662202219591e-08 1.55374050914822e-08
"1815" 40404 6.51954782769162e-09 1.22837187495444e-08 3.38964763090611e-08 2.30970738167449e-07 1.87178482274963e-07 5.72322754772874e-08 2.58276332418353e-08 1.55580738083007e-08
"1816" 40405 6.53508096650521e-09 1.2295135990096e-08 3.38729369775615e-08 2.32124674190245e-07 1.87161326390602e-07 5.72353439729358e-08 2.57890462617116e-08 1.55787425251191e-08
"1817" 40406 6.55061410531879e-09 1.23065532306477e-08 3.38493976460619e-08 2.33278610213042e-07 1.87144170506241e-07 5.72384124685841e-08 2.57504592815878e-08 1.55994112419375e-08
"1818" 40407 6.56614724413238e-09 1.23179704711993e-08 3.38258583145623e-08 2.34432546235839e-07 1.8712701462188e-07 5.72414809642325e-08 2.57118723014641e-08 1.5620079958756e-08
"1819" 40408 6.58168038294596e-09 1.2329387711751e-08 3.38023189830627e-08 2.35586482258635e-07 1.87109858737518e-07 5.72445494598808e-08 2.56732853213403e-08 1.56407486755744e-08
"1820" 40409 6.59721352175955e-09 1.23408049523026e-08 3.37787796515631e-08 2.36740418281432e-07 1.87092702853157e-07 5.72476179555292e-08 2.56346983412166e-08 1.56614173923929e-08
"1821" 40410 6.61274666057313e-09 1.23522221928542e-08 3.37552403200635e-08 2.37894354304228e-07 1.87075546968796e-07 5.72506864511775e-08 2.55961113610928e-08 1.56820861092113e-08
"1822" 40411 6.62827979938672e-09 1.23636394334059e-08 3.37317009885639e-08 2.39048290327025e-07 1.87058391084435e-07 5.72537549468258e-08 2.5557524380969e-08 1.57027548260297e-08
"1823" 40412 6.53899014982822e-09 1.22047328195956e-08 3.35482156175493e-08 2.38793931944617e-07 1.86676587399993e-07 5.6851816299406e-08 2.53539556143883e-08 1.53866321237422e-08
"1824" 40413 6.44970050026973e-09 1.20458262057852e-08 3.33647302465347e-08 2.3853957356221e-07 1.86294783715552e-07 5.64498776519862e-08 2.51503868478075e-08 1.50705094214547e-08
"1825" 40414 6.36041085071123e-09 1.18869195919749e-08 3.31812448755201e-08 2.38285215179803e-07 1.85912980031111e-07 5.60479390045664e-08 2.49468180812268e-08 1.47543867191671e-08
"1826" 40415 6.27112120115274e-09 1.17280129781646e-08 3.29977595045055e-08 2.38030856797395e-07 1.85531176346669e-07 5.56460003571466e-08 2.4743249314646e-08 1.44382640168796e-08
"1827" 40416 6.18183155159424e-09 1.15691063643543e-08 3.28142741334909e-08 2.37776498414988e-07 1.85149372662228e-07 5.52440617097268e-08 2.45396805480653e-08 1.4122141314592e-08
