time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
46338,6.301113623989132e-8,9.611219124962438e-9,3.7159879329235993e-9,1.4154012312567637e-8,4.205104931009359e-8,3.0186187471154804e-8,3.3616108789593806e-8,7.761900123836991e-8,6
46339,6.27958651892367e-8,9.609394922155965e-9,3.7197150646934823e-9,1.4206906549442027e-8,4.1887433299133165e-8,3.009597826887672e-8,3.3626471297242814e-8,7.754329552726604e-8,6
46340,6.25805941385821e-8,9.607570719349494e-9,3.7234421964633653e-9,1.4259800786316415e-8,4.1723817288172747e-8,3.0005769066598634e-8,3.363683380489182e-8,7.746758981616216e-8,6
46341,6.236532308792748e-8,9.605746516543024e-9,3.727169328233249e-9,1.4312695023190803e-8,4.156020127721232e-8,2.991555986432055e-8,3.364719631254083e-8,7.739188410505828e-8,6
46342,6.243834373052795e-8,9.6047421723736775e-09,3.732628579304187e-9,1.4367260572606032e-8,4.167039465000497e-8,2.973956154508598e-8,3.358637732521382e-8,7.736147435452269e-8,6
46343,6.251136437312841e-8,9.603737828204333e-9,3.738087830375125e-9,1.4421826122021261e-8,4.178058802279763e-8,2.9563563225851415e-8,3.3525558337886806e-8,7.73310646039871e-8,6
46344,6.258438501572887e-8,9.602733484034987e-9,3.743547081446063e-9,1.4476391671436488e-8,4.189078139559028e-8,2.9387564906616846e-8,3.34647393505598e-8,7.730065485345151e-8,6
46345,6.265740565832932e-8,9.601729139865642e-9,3.7490063325170015e-9,1.4530957220851717e-8,4.200097476838293e-8,2.921156658738228e-8,3.340392036323279e-8,7.727024510291591e-8,6
46346,6.273042630092978e-8,9.600724795696296e-9,3.75446558358794e-9,1.4585522770266944e-8,4.211116814117559e-8,2.9035568268147712e-8,3.3343101375905776e-8,7.723983535238032e-8,6
46347,6.280344694353024e-8,9.599720451526952e-9,3.759924834658878e-9,1.4640088319682173e-8,4.222136151396824e-8,2.8859569948913147e-8,3.328228238857877e-8,7.720942560184474e-8,6
46348,6.287646758613069e-8,9.598716107357605e-9,3.765384085729816e-9,1.4694653869097402e-8,4.233155488676089e-8,2.8683571629678582e-8,3.322146340125176e-8,7.717901585130915e-8,6
