time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
48491,3.1456775463816865e-8,6.103987318288349e-8,1.3852973104253237e-8,1.6689407757372369e-7,1.3770507181281493e-7,1.3249128016872371e-8,3.802908488978936e-9,3.7091790478998127e-9,0
48492,3.133161581088321e-8,6.09973967527182e-8,1.3855097403611008e-8,1.667799650726363e-7,1.3785440937779164e-7,1.3211447802803172e-8,3.805846912903957e-9,3.6958822119369695e-9,0
48493,3.1217048937643486e-8,6.11199041287128e-8,1.3853318770255064e-8,1.6670426360016796e-7,1.3770011273121586e-7,1.3170880492118981e-8,3.8070667483078635e-9,3.6825018445592574e-9,0
48494,3.110248206440377e-8,6.12424115047074e-8,1.385154013689912e-8,1.666285621276996e-7,1.3754581608464009e-7,1.3130313181434793e-8,3.80828658371177e-9,3.6691214771815452e-9,0
48495,3.0987915191164055e-8,6.136491888070198e-8,1.3849761503543177e-8,1.6655286065523125e-7,1.373915194380643e-7,1.3089745870750604e-8,3.809506419115677e-9,3.6557411098038327e-9,0
48496,3.0873348317924334e-8,6.148742625669657e-8,1.3847982870187233e-8,1.664771591827629e-7,1.3723722279148853e-7,1.3049178560066414e-8,3.810726254519584e-9,3.6423607424261205e-9,0
48497,3.075878144468462e-8,6.160993363269117e-8,1.384620423683129e-8,1.6640145771029454e-7,1.3708292614491279e-7,1.3008611249382225e-8,3.811946089923492e-9,3.6289803750484084e-9,0
48498,3.06442145714449e-8,6.173244100868577e-8,1.3844425603475346e-8,1.663257562378262e-7,1.36928629498337e-7,1.2968043938698037e-8,3.8131659253273984e-9,3.615600007670696e-9,0
48499,3.052964769820518e-8,6.185494838468036e-8,1.3842646970119404e-8,1.6625005476535786e-7,1.3677433285176124e-7,1.2927476628013846e-8,3.814385760731305e-9,3.6022196402929837e-9,0
48500,3.0415080824965466e-8,6.197745576067496e-8,1.384086833676346e-8,1.661743532928895e-7,1.3662003620518546e-7,1.2886909317329658e-8,3.815605596135212e-9,3.5888392729152716e-9,0
48501,3.0203174715567265e-8,6.183022133314927e-8,1.3840282491422313e-8,1.6584578700653754e-7,1.3666380271832222e-7,1.2868076299626072e-8,3.816717241982676e-9,3.5671471653747787e-9,0
48502,2.9991268606169063e-8,6.168298690562359e-8,1.3839696646081166e-8,1.6551722072018557e-7,1.3670756923145899e-7,1.2849243281922485e-8,3.8178288878301415e-9,3.5454550578342854e-9,0
48503,2.9779362496770862e-8,6.15357524780979e-8,1.3839110800740019e-8,1.651886544338336e-7,1.3675133574459572e-7,1.28304102642189e-8,3.818940533677606e-9,3.5237629502937926e-9,0
48504,2.9567456387372657e-8,6.138851805057223e-8,1.3838524955398871e-8,1.6486008814748165e-7,1.3679510225773249e-7,1.2811577246515312e-8,3.820052179525071e-9,3.5020708427532997e-9,0
