time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
37297,7.802481761317616e-9,1.0275778282613006e-9,1.567146246499656e-8,1.3158011304780175e-7,1.565886443255652e-8,9.408563151923122e-8,1.5175156183964146e-7,3.1852747980267355e-8,0
37298,7.751175824996044e-9,1.0279315747641153e-9,1.5673241997898384e-8,1.3176629202062148e-7,1.5601276951000316e-8,9.408563151923122e-8,1.510449609688581e-7,3.183011731849895e-8,0
37299,7.69986988867447e-9,1.0282853212669299e-9,1.5675021530800204e-8,1.3195247099344122e-7,1.5543689469444112e-8,9.408563151923122e-8,1.503383600980747e-7,3.180748665673054e-8,0
37300,7.648563952352897e-9,1.0286390677697445e-9,1.5676801063702027e-8,1.3213864996626097e-7,1.5486101987887905e-8,9.408563151923122e-8,1.4963175922729134e-7,3.1784855994962136e-8,0
37301,7.597258016031324e-9,1.028992814272559e-9,1.567858059660385e-8,1.323248289390807e-7,1.54285145063317e-8,9.408563151923122e-8,1.4892515835650797e-7,3.176222533319373e-8,0
37302,7.542702582766544e-9,1.0325653594333706e-9,1.5700833202545998e-8,1.3239179083606487e-7,1.5343534469513197e-8,9.41288503102833e-8,1.483404885392775e-7,3.1732289282391e-8,0
37303,7.488147149501765e-9,1.036137904594182e-9,1.5723085808488146e-8,1.3245875273304903e-7,1.5258554432694692e-8,9.41720691013354e-8,1.47755818722047e-7,3.170235323158828e-8,0
37304,7.433591716236984e-9,1.0397104497549935e-9,1.5745338414430297e-8,1.325257146300332e-7,1.5173574395876188e-8,9.421528789238748e-8,1.4717114890481652e-7,3.1672417180785555e-8,0
37305,7.379036282972204e-9,1.043282994915805e-9,1.5767591020372444e-8,1.3259267652701735e-7,1.5088594359057683e-8,9.425850668343958e-8,1.4658647908758604e-7,3.164248112998283e-8,0
37306,7.324480849707424e-9,1.0468555400766164e-9,1.578984362631459e-8,1.3265963842400151e-7,1.500361432223918e-8,9.430172547449167e-8,1.4600180927035556e-7,3.16125450791801e-8,0
37307,7.269925416442643e-9,1.0504280852374278e-9,1.5812096232256742e-8,1.3272660032098568e-7,1.4918634285420674e-8,9.434494426554375e-8,1.4541713945312508e-7,3.158260902837738e-8,0
37308,7.215369983177864e-9,1.0540006303982395e-9,1.583434883819889e-8,1.3279356221796984e-7,1.4833654248602168e-8,9.438816305659585e-8,1.448324696358946e-7,3.1552672977574654e-8,0
37309,7.1755201651893274e-9,1.0541456370126318e-9,1.583585719516793e-8,1.330452239924186e-7,1.4716446801253107e-8,9.463963557072878e-8,1.438286116241471e-7,3.1586760476011744e-8,0
37310,7.1786183679684665e-9,1.0475343799408815e-9,1.582725490182644e-8,1.3286763199971453e-7,1.4716446801253107e-8,9.488955424879513e-8,1.4063124707510155e-7,3.164945280985342e-8,0
37311,7.1931526644180676e-9,1.0380756107802816e-9,1.5810604764626446e-8,1.330555235861322e-7,1.4720360023433436e-8,9.447280751235243e-8,1.3981368743623506e-7,3.17030134074022e-8,0
37312,7.207686960867668e-9,1.0286168416196818e-9,1.5793954627426448e-8,1.3324341517254984e-7,1.4724273245613764e-8,9.405606077590975e-8,1.389961277973686e-7,3.1756574004950975e-8,0
37313,7.222221257317269e-9,1.019158072459082e-9,1.5777304490226453e-8,1.334313067589675e-7,1.4728186467794093e-8,9.363931403946705e-8,1.3817856815850213e-7,3.181013460249975e-8,0
37314,7.236755553766869e-9,1.0096993032984819e-9,1.5760654353026458e-8,1.3361919834538518e-7,1.4732099689974422e-8,9.322256730302436e-8,1.3736100851963567e-7,3.186369520004853e-8,0
37315,7.25128985021647e-9,1.000240534137882e-9,1.574400421582646e-8,1.3380708993180282e-7,1.4736012912154752e-8,9.280582056658166e-8,1.3654344888076918e-7,3.1917255797597304e-8,0
37316,7.250413231420677e-9,9.942093035237013e-10,1.572442935390642e-8,1.33771399699769e-7,1.4761142574908419e-8,9.248271903579571e-8,1.3575095862784447e-7,3.1914098234940584e-8,0
37317,7.249536612624884e-9,9.881780729095206e-10,1.5704854491986376e-8,1.3373570946773517e-7,1.4786272237662086e-8,9.215961750500978e-8,1.3495846837491975e-7,3.1910940672283864e-8,0
37318,7.2493652937982406e-9,9.787193037489208e-10,1.5714151614498563e-8,1.339850480601869e-7,1.4786502413531357e-8,9.149117766623303e-8,1.3415712290689726e-7,3.1990938806301375e-8,0
37319,7.249193974971597e-9,9.69260534588321e-10,1.572344873701075e-8,1.3423438665263863e-7,1.4786732589400628e-8,9.082273782745629e-8,1.3335577743887475e-7,3.207093694031889e-8,0
37320,7.2490226561449534e-09,9.598017654277209e-10,1.5732745859522935e-8,1.3448372524509034e-7,1.47869627652699e-8,9.015429798867953e-8,1.3255443197085224e-7,3.215093507433641e-8,0
37321,7.24885133731831e-9,9.50342996267121e-10,1.5742042982035123e-8,1.3473306383754206e-7,1.4787192941139172e-8,8.948585814990278e-8,1.3175308650282972e-7,3.2230933208353926e-8,0
37322,7.248680018491666e-9,9.408842271065212e-10,1.575134010454731e-8,1.3498240242999377e-7,1.4787423117008444e-8,8.881741831112604e-8,1.309517410348072e-7,3.231093134237144e-8,0
37323,7.248508699665023e-9,9.314254579459213e-10,1.5760637227059498e-8,1.3523174102244552e-7,1.4787653292877715e-8,8.814897847234929e-8,1.3015039556678473e-7,3.2390929476388954e-8,0
